household_email	bathroom_number	sink_count	bidet_count	commode_count	tub_count	shower_count	tub_shower_count	primary_bathroom	bathroom_name
atagala@dalttechnology.com	1	1	0	1					
atillotson@faxquote.com	2	2	0	1					powder room
atjepkema@zencorporation.com	1	1	0	1					
atjepkema@zencorporation.com	2	1	0	1					basement
atolfree@rundofase.com	3	2	1	0					guest
atollner@xx-zobam.com	1	2	0	1					
atomasulo@rantouch.com	1	1	0	1					powder room
aupthegrove@donquadtech.com	1	2	0	1					
avanheusen@zotware.com	1	1	0	0					powder room
avanheusen@zotware.com	2	1	1	1					powder room
avillanueva@green-plus.com	1	2	0	1					
avinning@faxquote.com	2	1	0	1					basement
avinning@konex.com	1	1	0	1					
avocelka@bioholding.com	1	1	0	1					game room
avocelka@bioholding.com	2	1	0	1					guest
awalthall@zotware.com	1	1	0	1					basement
awardrip@zencorporation.com	3	1	0	1					powder room
awaymire@ontomedia.com	2	1	1	1					powder room
awaymire@sunnamplex.com	2	2	0	1					
aweglarz@hottechi.com	1	2	0	0					guest
aweirather@faxquote.com	1	1	0	1					
awesterbeck@codehow.com	1	1	0	1					
awhobrey@bioplex.com	1	1	0	1					
awide@zoomit.com	1	1	0	1					
awieser@zathunicon.com	1	1	0	1					powder room
awolfgramm@toughzap.com	2	1	0	1					guest
awolny@iselectrics.com	1	1	0	0					basement
awolny@iselectrics.com	2	1	0	1					powder room
awolny@iselectrics.com	4	1	0	1					
aworlds@groovestreet.com	1	1	1	1					game room
awrinkles@streethex.com	2	2	0	1					powder room
ayglesias@statholdings.com	2	2	0	0					game room
ayglesias@zoomit.com	1	1	1	0					
ayglesias@zoomit.com	3	1	0	1					
azagen@plexzap.com	1	1	0	1					game room
badkin@scotfind.com	1	1	0	1					powder room
balbares@ganjaflex.com	1	1	0	1					powder room
bankeny@ron-tech.com	1	1	0	1					guest
bankeny@ron-tech.com	2	1	0	1					guest
basar@scottech.com	1	2	1	0					
basar@scottech.com	2	2	0	1					basement
bbartolet@treequote.com	1	1	0	1					game room
bbennick@inity.com	1	1	0	1					game room
bbennick@inity.com	3	2	1	1					guest
bberlanga@donquadtech.com	1	1	0	0					
bborgman@dalttechnology.com	1	1	1	1					
bborgman@dalttechnology.com	2	1	0	1					game room
bborgman@dalttechnology.com	3	2	1	1					
bbrachle@funholding.com	2	1	0	1					powder room
bbriddick@openlane.com	1	2	0	0					
bbrucato@zumgoity.com	2	1	0	1					
bbutt@green-plus.com	1	1	0	1					game room
bbutzen@inity.com	1	1	0	1					game room
bcaiafa@green-plus.com	1	3	0	1					
bcaudy@codehow.com	1	1	1	1					
bcaudy@iselectrics.com	1	1	0	0					game room
bcentini@labdrill.com	1	2	0	1					game room
bclaucherty@sunnamplex.com	2	1	1	0					basement
bcoody@zathunicon.com	1	1	0	1					
bcookey@nam-zim.com	1	1	0	1					basement
bcousey@scotfind.com	1	1	0	1					
bcousey@scotfind.com	2	2	1	1					powder room
bcryer@inity.com	1	1	0	1					basement
bdemesa@conecom.com	1	1	0	1					
bdiscipio@zoomit.com	1	2	0	1					
bdrymon@zathunicon.com	1	1	0	0					guest
bdubaldi@year-job.com	1	1	1	1					guest
beanes@codehow.com	1	1	0	1					guest
beanes@nam-zim.com	3	2	1	1					guest
beanes@nam-zim.com	4	1	0	1					
beanes@nam-zim.com	6	2	0	1					
beanes@nam-zim.com	9	2	0	1					game room
bestell@bioholding.com	1	3	1	1					
bfillingim@betatech.com	2	1	0	1					basement
bfrancescon@treequote.com	2	1	0	0					powder room
bfrancescon@y-corporation.com	1	1	0	1					
bfrancescon@y-corporation.com	2	2	0	1					powder room
bfrankel@plusstrip.com	1	1	0	1					basement
bfredicks@betasoloin.com	1	1	0	1					
bgabisi@scottech.com	1	1	0	1					
bgiguere@groovestreet.com	1	2	0	1					game room
bgiguere@plexzap.com	1	1	0	1					
bgiguere@plexzap.com	3	1	0	1					guest
bgleich@plusstrip.com	1	1	0	1					
bgreenbush@donware.com	1	1	0	1					basement
bgreenbush@silis.com	1	1	0	1					
bgudroe@condax.com	1	1	0	1					
bgudroe@doncon.com	1	1	0	1					
bhagele@plexzap.com	1	1	1	1					guest
bhalter@doncon.com	1	1	0	0					
bhalter@rangreen.com	2	1	0	1					powder room
bharabedian@iselectrics.com	2	3	0	0					
bharabedian@zotware.com	1	1	1	1					
bharabedian@zotware.com	2	2	0	1					
bhauenstein@funholding.com	1	2	0	1					
bheimann@domzoom.com	3	1	0	1					powder room
bheimann@statholdings.com	1	2	0	1					
bhoa@domzoom.com	1	1	0	1					basement
bhoneywell@xx-holding.com	2	1	0	1					
bhudnall@dalttechnology.com	1	1	0	1					game room
bjayson@hatfan.com	1	1	0	1					
bjuhas@doncon.com	1	1	0	1					game room
bjuhas@doncon.com	2	1	1	1					basement
bkaniecki@plusstrip.com	3	1	0	1					basement
bklimek@y-corporation.com	1	1	1	1					powder room
blabreche@ron-tech.com	1	2	0	1					guest
blabreche@ron-tech.com	3	1	0	1					
bleinenbach@dontechi.com	1	1	0	0					
bleinenbach@year-job.com	1	1	0	0					game room
bleto@dambase.com	1	2	1	1					game room
bleto@dambase.com	3	1	0	1					powder room
bleto@zathunicon.com	1	1	0	1					guest
blinahan@silis.com	4	2	0	1					guest
blizama@condax.com	1	1	0	1					game room
blukasik@zumgoity.com	2	1	1	1					
bmarrier@finjob.com	1	1	0	1					game room
bmastella@hottechi.com	1	2	1	1					powder room
bmeinerding@zumgoity.com	1	1	1	1					guest
bmirafuentes@fasehatice.com	2	1	1	0					
bmorasca@scottech.com	1	1	0	1					game room
bmoyd@kan-code.com	2	1	0	1					basement
bmoyd@streethex.com	1	1	0	1					
bnabours@scotfind.com	1	1	0	1					guest
bnabours@scotfind.com	2	1	0	1					basement
bneither@cancity.com	2	1	1	1					game room
bnestle@hatfan.com	1	1	0	1					
bnievas@kinnamplus.com	2	2	0	1					
bnievas@kinnamplus.com	3	3	0	1					
bogg@openlane.com	1	1	0	1					
bogg@openlane.com	2	1	0	1					
bostolaza@sunnamplex.com	1	1	0	1					basement
bostolaza@sunnamplex.com	2	1	1	1					
bpapasergi@gogozoom.com	2	1	0	1					basement
bpaskin@ron-tech.com	2	1	0	0					game room
bpatak@dontechi.com	1	1	0	1					
bplumer@groovestreet.com	2	1	1	1					powder room
bpoquette@stanredtax.com	1	2	0	0					
bpoquette@stanredtax.com	2	3	0	1					game room
brhoden@betatech.com	1	2	0	1					
brhoden@betatech.com	2	1	0	1					game room
brodeigues@cancity.com	1	1	0	1					game room
browling@silis.com	2	1	0	1					basement
bryser@y-corporation.com	2	3	0	0					game room
bsamu@golddex.com	1	1	0	1					
bsamu@golddex.com	2	1	0	1					
bsaulter@labdrill.com	2	1	1	1					
bschirpke@plusstrip.com	1	2	0	1					
bschmaltz@goodsilron.com	2	1	0	1					guest
bschmierer@zathunicon.com	1	2	0	1					game room
bscipione@blackzim.com	1	2	0	1					
bscriven@donware.com	1	1	0	1					
bshealy@ontomedia.com	1	1	0	1					
bshealy@ontomedia.com	2	1	0	1					
bshealy@ontomedia.com	3	1	0	1					
bshinko@y-corporation.com	1	1	1	1					basement
bshinko@y-corporation.com	2	1	0	1					
bslayton@ganjaflex.com	1	1	1	1					
bsmith@ontomedia.com	1	1	1	1					game room
bsteffensmeier@gogozoom.com	1	1	0	1					guest
bstrassner@scotfind.com	2	1	1	0					
bsyrop@zoomit.com	1	1	0	1					basement
btjepkema@scottech.com	1	1	0	1					basement
btomblin@rantouch.com	1	2	0	1					
buyetake@condax.com	1	1	1	1					
bvanausdal@finhigh.com	1	2	0	1					
bvanausdal@finhigh.com	3	1	0	1					basement
bvanausdal@isdom.com	2	1	1	1					
bvarriano@plexzap.com	1	1	0	1					powder room
bventura@codehow.com	1	1	0	0					
bvillanueva@hottechi.com	1	1	1	1					
bwalthall@bioholding.com	1	1	0	1					guest
bwenzinger@ganjaflex.com	2	1	0	1					powder room
bwhobrey@zumgoity.com	1	2	0	1					
bwide@ron-tech.com	2	2	0	1					
bwolfgramm@y-corporation.com	2	1	0	1					basement
bwolny@codehow.com	1	1	0	1					game room
bwolny@codehow.com	2	2	0	1					guest
bworlds@zathunicon.com	2	1	1	1					guest
bwrinkles@condax.com	1	1	0	1					game room
bwrinkles@plusstrip.com	2	1	0	1					powder room
bwrinkles@plusstrip.com	3	1	0	1					basement
byaw@zotware.com	2	1	0	0					basement
byaw@zotware.com	3	1	0	1					game room
bzagen@plexzap.com	1	2	0	1					basement
cabdallah@codehow.com	2	1	0	1					guest
camigon@funholding.com	1	1	0	1					game room
camyot@zathunicon.com	1	2	0	1					
cangalich@rundofase.com	3	1	0	1					powder room
cankeny@finhigh.com	1	1	1	0					powder room
cankeny@yearin.com	1	1	0	1					guest
caredondo@fasehatice.com	2	1	0	1					powder room
cauber@xx-zobam.com	3	2	0	1					
cbaltimore@dalttechnology.com	2	1	1	1					guest
cbeech@goodsilron.com	2	3	0	1					game room
cbeech@goodsilron.com	3	2	0	1					guest
cbenimadho@funholding.com	1	1	0	1					powder room
cbirkner@donware.com	1	1	0	1					
cbirkner@kan-code.com	1	1	0	0					
cbreland@gogozoom.com	2	1	1	1					basement
cbreland@zoomit.com	1	2	0	1					
cbrideau@funholding.com	1	1	0	1					
cbrideau@funholding.com	2	1	0	1					powder room
cbrossart@zotware.com	1	1	0	1					basement
cbrossart@zotware.com	2	2	0	0					game room
cbrucato@betasoloin.com	1	3	1	1					powder room
cbruschke@ontomedia.com	1	1	0	1					basement
cbruschke@ontomedia.com	3	2	0	0					powder room
cbruschke@ontomedia.com	4	1	0	1					powder room
cbubash@opentech.com	1	2	0	1					
cbutzen@iselectrics.com	2	1	1	1					
cbutzen@newex.com	2	1	1	1					guest
ccaiafa@nam-zim.com	2	1	0	1					
ccaiafa@nam-zim.com	3	1	0	1					basement
ccaldarera@dontechi.com	1	2	0	1					guest
ccallaro@zencorporation.com	1	1	0	1					game room
ccallaro@zencorporation.com	2	1	0	1					basement
ccallaro@zencorporation.com	3	1	0	0					
ccalvaresi@hottechi.com	1	1	0	1					powder room
ccandlish@rantouch.com	1	1	0	1					game room
ccanlas@stanredtax.com	2	1	0	1					basement
ccantres@plussunin.com	1	2	0	0					powder room
ccantres@plussunin.com	2	1	0	1					game room
ccartan@dambase.com	2	1	0	1					
ccentini@dontechi.com	1	1	0	1					game room
cchaffins@ontomedia.com	1	1	0	0					powder room
cchesterfield@streethex.com	1	2	0	1					game room
cchesterfield@streethex.com	2	2	0	1					
cchickering@condax.com	1	1	0	1					game room
cclaucherty@hottechi.com	1	1	0	1					game room
ccoody@mathtouch.com	1	1	1	1					basement
ccorrington@gogozoom.com	3	1	0	1					
ccoyier@dontechi.com	2	1	0	1					powder room
ccraghead@stanredtax.com	1	1	1	1					
ccronauer@fasehatice.com	2	1	0	1					basement
cdarakjy@codehow.com	2	1	0	1					
cdegroot@konex.com	1	1	0	1					basement
cdemesa@openlane.com	1	2	0	1					
cdevreese@nam-zim.com	2	2	0	1					guest
cdhamer@dalttechnology.com	1	1	0	1					powder room
cdiestel@donquadtech.com	1	2	1	1					game room
cdinos@gogozoom.com	1	2	0	1					game room
cdrymon@donware.com	1	1	0	0					
cemigh@mathtouch.com	2	1	1	1					powder room
cennaco@sunnamplex.com	1	1	0	1					
ceroman@warephase.com	1	1	1	1					game room
cfallick@iselectrics.com	1	1	0	1					guest
cfarrow@dambase.com	2	2	1	1					guest
cfigeroa@cancity.com	2	1	0	1					guest
cfigeroa@j-texon.com	1	1	0	1					
cflister@toughzap.com	3	1	1	1					game room
cfortino@newex.com	2	1	0	1					guest
cfrerking@xx-zobam.com	2	1	0	1					game room
cfritz@funholding.com	4	2	0	0					
cfritz@iselectrics.com	2	1	0	1					
cgato@statholdings.com	2	1	0	1					game room
cgato@streethex.com	1	1	0	1					guest
cgibes@faxquote.com	2	1	1	1					basement
cgiguere@ron-tech.com	1	1	0	1					powder room
cgreenbush@nam-zim.com	1	1	0	1					
cgrenet@donware.com	1	1	0	0					
cgwalthney@treequote.com	2	2	0	1					
chalsey@conecom.com	1	1	0	1					game room
chalsey@j-texon.com	2	2	0	1					guest
charabedian@faxquote.com	1	2	0	0					guest
chengel@xx-holding.com	1	3	0	1					basement
chiatt@y-corporation.com	4	1	0	1					guest
chidvegi@groovestreet.com	4	2	0	1					
chidvegi@groovestreet.com	5	2	0	1					
chirpara@sunnamplex.com	1	2	0	1					powder room
chixenbaugh@rundofase.com	1	2	1	1					powder room
chixenbaugh@streethex.com	1	1	0	1					
chochard@golddex.com	1	3	0	1					game room
chochard@zathunicon.com	1	1	0	1					game room
chollack@y-corporation.com	1	1	0	1					
choogland@year-job.com	4	1	0	1					guest
choogland@year-job.com	5	1	0	0					guest
choogland@year-job.com	6	1	0	1					basement
choogland@year-job.com	7	1	0	1					basement
chusser@domzoom.com	2	1	1	1					
cinouye@hatfan.com	1	1	0	1					basement
cjuhas@donquadtech.com	1	1	0	1					basement
cjuhas@streethex.com	3	1	1	1					
cjuhas@streethex.com	7	2	0	1					powder room
cjuhas@zathunicon.com	1	1	0	0					basement
cjulia@finhigh.com	1	1	0	1					
cjurney@treequote.com	1	1	0	1					
ckarpel@golddex.com	2	2	0	1					game room
ckarpel@scotfind.com	2	1	0	1					
ckeetch@hatfan.com	1	1	0	1					basement
ckeetch@hatfan.com	3	1	0	1					game room
ckeetch@xx-zobam.com	2	2	0	1					
ckiel@gogozoom.com	2	1	0	1					guest
ckippley@konex.com	1	1	0	1					
ckolmetz@donware.com	1	1	0	1					
clace@betatech.com	1	1	0	1					powder room
clace@betatech.com	2	2	0	1					
clacovara@nam-zim.com	1	1	0	1					basement
clacovara@stanredtax.com	1	1	1	1					basement
clacovara@stanredtax.com	2	2	0	1					guest
clapage@rangreen.com	1	2	0	1					game room
clapage@rangreen.com	2	1	0	1					powder room
clayous@blackzim.com	1	1	0	1					powder room
cleto@cancity.com	1	2	0	1					basement
clietz@dontechi.com	1	1	0	1					powder room
clietz@donware.com	2	2	0	0					powder room
clipkin@donquadtech.com	2	1	0	1					
cliukko@hatfan.com	1	3	0	0					game room
cloader@konex.com	2	1	0	1					
cloder@domzoom.com	1	1	0	1					powder room
cloder@domzoom.com	2	2	1	1					basement
cloder@rantouch.com	1	1	0	1					guest
clother@condax.com	1	2	0	1					
clouissant@zumgoity.com	1	1	0	1					basement
cluczki@betatech.com	2	2	0	1					
clueckenbach@treequote.com	1	2	0	1					
cmaclead@domzoom.com	2	1	0	1					powder room
cmaillard@stanredtax.com	1	1	0	1					
cmalet@lexiqvolax.com	1	2	0	1					
cmaybury@rantouch.com	2	1	0	1					
cmccullan@dalttechnology.com	2	1	1	1					
cmccullan@mathtouch.com	1	1	0	1					
cmccullan@ron-tech.com	1	1	0	0					basement
cmcdoniel@groovestreet.com	1	1	0	1					powder room
cmcdoniel@warephase.com	1	1	0	1					game room
cmcdoniel@warephase.com	2	1	0	1					guest
cmeisel@konmatfix.com	1	1	0	1					basement
cmenter@dambase.com	3	1	0	1					
cmondella@stanredtax.com	2	2	0	1					basement
cmontezuma@ganjaflex.com	1	1	0	1					
cmontezuma@ganjaflex.com	3	2	0	1					guest
cmorasca@groovestreet.com	1	2	0	1					powder room
cmorocco@goodsilron.com	1	2	0	1					
cmotley@inity.com	1	1	0	1					
cmugnolo@zoomit.com	1	2	0	1					guest
cmugnolo@zoomit.com	2	1	0	1					basement
cmulqueen@xx-zobam.com	1	1	1	1					basement
cmunns@stanredtax.com	1	1	0	1					
cmyricks@bioplex.com	1	1	0	1					powder room
cmyricks@faxquote.com	1	3	0	1					
cnabours@toughzap.com	1	1	0	1					basement
cnayar@konmatfix.com	2	1	1	1					game room
cnewville@streethex.com	1	1	0	0					powder room
cnicka@kan-code.com	1	1	1	1					
cnicolozakes@betatech.com	1	2	1	1					basement
cnicolozakes@isdom.com	1	1	0	1					guest
coldroyd@hatfan.com	2	2	0	1					basement
coles@nam-zim.com	3	1	0	1					
conofrio@treequote.com	1	1	0	1					basement
cpaa@dalttechnology.com	1	1	0	0					basement
cpalaspas@konmatfix.com	1	1	0	1					guest
cpalaspas@konmatfix.com	2	1	0	1					basement
cpaskin@labdrill.com	1	1	0	1					game room
cperez@j-texon.com	1	1	0	1					
cperez@j-texon.com	3	1	1	1					
crantanen@sumace.com	3	3	0	0					game room
crauser@hottechi.com	1	1	0	1					basement
crauser@hottechi.com	2	1	0	1					powder room
creitler@finjob.com	2	1	0	1					powder room
creitler@xx-zobam.com	2	1	0	1					
crestrepo@isdom.com	2	1	0	1					game room
crodeigues@domzoom.com	2	1	0	0					basement
crowling@ron-tech.com	2	1	1	1					basement
croyster@hottechi.com	1	2	0	0					
csahagun@domzoom.com	1	2	0	1					
csamara@domzoom.com	1	1	0	1					guest
csamu@bioholding.com	2	2	0	0					game room
csaras@goodsilron.com	1	1	0	1					
csaras@zencorporation.com	1	1	0	1					
csaulter@gogozoom.com	2	1	0	1					
csaulter@labdrill.com	1	1	0	1					
csawchuk@domzoom.com	2	1	0	0					
csayaphon@lexiqvolax.com	1	2	0	0					
csaylors@sumace.com	2	1	0	1					guest
cschieler@plusstrip.com	1	1	0	1					guest
cschirpke@warephase.com	1	1	0	0					basement
cschirpke@warephase.com	2	1	0	1					game room
cschnitzler@streethex.com	1	2	0	1					guest
cschoeneck@iselectrics.com	2	2	0	1					
cscriven@dontechi.com	1	2	1	1					
cseewald@plexzap.com	1	2	1	0					powder room
csengbusch@dalttechnology.com	1	1	0	1					guest
cshinko@mathtouch.com	1	1	0	1					basement
csimilton@kinnamplus.com	1	1	0	1					game room
cspickerman@codehow.com	2	2	0	1					basement
cspringe@scottech.com	1	1	0	1					
csteffensmeier@hottechi.com	2	3	1	1					powder room
cstockham@xx-zobam.com	2	1	1	1					guest
cstorment@codehow.com	2	1	0	0					
csuell@blackzim.com	1	1	0	1					game room
csuell@doncon.com	1	1	0	1					game room
ctawil@scotfind.com	1	1	1	1					
ctegarden@zoomit.com	1	1	0	1					guest
cthreets@sumace.com	1	2	0	1					guest
ctjepkema@codehow.com	1	3	0	1					powder room
ctjepkema@codehow.com	2	1	0	1					powder room
ctjepkema@toughzap.com	1	2	0	0					
ctomblin@rantouch.com	2	1	0	1					game room
ctromblay@cancity.com	1	1	0	1					game room
cturinetti@iselectrics.com	1	1	0	1					basement
cupthegrove@doncon.com	1	1	1	1					
cupthegrove@doncon.com	2	1	1	1					powder room
cvanheusen@funholding.com	1	1	0	1					guest
cvenere@cancity.com	2	1	0	1					
cvenere@goodsilron.com	1	1	1	1					
cventura@opentech.com	1	1	0	1					powder room
cvinning@bioholding.com	2	1	0	1					basement
cvizarro@codehow.com	2	2	1	1					
cvizarro@codehow.com	3	1	0	1					game room
cvonasek@hottechi.com	1	1	1	0					
cwalthall@hottechi.com	1	1	0	1					
cwalthall@newex.com	2	1	1	1					basement
cwaycott@inity.com	1	1	0	1					basement
cwaycott@zathunicon.com	1	2	0	1					
cwaycott@zencorporation.com	1	1	0	1					powder room
cwaycott@zencorporation.com	2	2	0	0					
cweglarz@xx-holding.com	1	2	0	1					guest
cweglarz@xx-holding.com	3	2	0	1					
cweight@nam-zim.com	1	1	1	1					powder room
cwide@doncon.com	1	3	0	1					basement
cwide@zathunicon.com	1	1	0	1					
cwide@zathunicon.com	2	1	1	1					
cwide@zathunicon.com	3	1	1	1					guest
cwieser@iselectrics.com	2	1	0	1					powder room
cwiklund@konex.com	1	1	0	1					basement
cyaw@gogozoom.com	1	3	0	1					
cyori@donware.com	1	1	1	0					game room
cyori@donware.com	3	1	0	0					
czane@zoomit.com	2	1	0	1					basement
dagramonte@statholdings.com	1	1	0	1					powder room
