household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	oven_type	gas	electric	microwave
fduenas@kinnamplus.com	1	Barsipicator WorldWide	Rapvenar	gas	conventional	1	0	1
ccomnick@opentech.com	1	Barsipicator WorldWide	Tupdimantor	gas				
bdaufeldt@zotware.com	1	Bartinanor	Froglibefax	induction	conventional	1	1	1
amaynerich@green-plus.com	1	Bartinanor	Fropickaman	gas	convection	1	0	1
wsweely@finhigh.com	1	Bartinanor	Lompeban	radiant electric	conventional	0	1	0
gbruschke@betatech.com	1	Bartinanor	Mondudexin	electric	conventional	1	0	1
mskursky@newex.com	1	Bartinanor	Mondudexin	electric	conventional	0	1	1
hacuff@toughzap.com	1	Bartinanor	Qwinipamex		conventional	0	1	0
llace@fasehatice.com	1	Bartinanor	Tipwerpin	electric				
eharnos@plussunin.com	1	Bartumopover Direct Inc	Enddimax		conventional	1	0	1
fmatuszak@statholdings.com	1	Bartumopover Direct Inc	Rapsapex		convection	1	1	0
lklang@scotfind.com	1	Barvenackax Direct Company			conventional	1	0	0
jjillson@lexiqvolax.com	1	Barvenackax Direct Company		gas	convection	0	1	1
arodeigues@konex.com	1	Barvenackax Direct Company	Emweronar	gas	conventional	0	0	1
lwenzinger@hatfan.com	1	Barvenackax Direct Company	Grosapower		conventional	1	1	1
athyberg@statholdings.com	1	Barvenackax Direct Company	Hapnipexower	induction	conventional	0	1	0
bnestle@hatfan.com	1	Barvenackax Direct Company	Haptanupantor	induction	convection	1	0	0
hkulzer@condax.com	1	Barvenackax Direct Company	Klidudplar		conventional	1	0	0
ewolny@zencorporation.com	1	Barvenackax Direct Company	Redudex		convection	0	1	0
scoyier@scottech.com	1	Barvenackax Direct Company	Tipwerpin	electric	conventional	1	0	1
mbeech@labdrill.com	1	Cipbanower Direct Company		induction	conventional	1	1	0
lgehrett@rantouch.com	1	Cipbanower Direct Company	Monroban		conventional	1	1	0
trhymes@stanredtax.com	1	Cipbanower Direct Company	Revenex		conventional	1	1	0
camigon@konex.com	1	Cipbanower Direct Company	Supericator	induction				
lrochin@statholdings.com	1	Cipbanower Direct Company	Thrumunonax	electric	conventional	1	1	1
jcomnick@bioholding.com	1	Ciperepazz Direct Inc	Fropickaman		convection	0	1	1
gfrancescon@betatech.com	1	Ciperepazz Direct Inc	Parfropadantor	radiant electric	conventional	1	1	0
lpolidori@xx-zobam.com	1	Ciperepazz Direct Inc	Parhupar	electric				
ywolny@stanredtax.com	1	Ciperepazz Direct Inc	Supvenefazz		conventional	0	0	1
gpedrozo@inity.com	1	Cipmunonover Holdings	Frorobistor	electric	conventional	0	0	1
rvizarro@finjob.com	1	Cipmunonover Holdings	Parrobor	electric	convection	1	1	1
kupthegrove@green-plus.com	1	Cipmunonover Holdings	Rapvenar		conventional	1	1	0
bpontoriero@bioplex.com	1	Cipmunonover Holdings	Truzapaquar		conventional	0	0	1
hmotley@konex.com	1	Cipmunonover Holdings	Varhupan		conventional	1	1	0
tdevreese@zencorporation.com	1	Dopdimaquor Holdings Company	Frovenazz		conventional	1	1	0
tnachor@conecom.com	1	Dopdimaquor Holdings Company	Monglibepar	gas	conventional	0	1	0
apoquette@kan-code.com	1	Dopdimaquor Holdings Company	Tipsapover	electric				
csaras@zencorporation.com	1	Dopdimaquor Holdings Company	Truzapaquar	induction	conventional	1	0	1
langalich@iselectrics.com	1	Dopdimaquor Holdings Company	Varwerpanower		conventional	1	1	1
agood@scotfind.com	1	Dopjubupicator	Hapnipexower	induction				
mengelberg@bioholding.com	1	Dopjubupicator	Monwericower		conventional	0	1	0
dflosi@konmatfix.com	1	Dopjubupicator	Monzapazz	electric	conventional	1	1	0
fsweely@ron-tech.com	1	Dopjubupicator	Qwifropilistor	electric				
ggochal@fasehatice.com	1	Dopjubupicator	Rewerpower		convection	0	0	1
emiceli@cancity.com	1	Dopjubupicator	Supdimonentor	gas				
csaulter@labdrill.com	1	Dopjubupicator	Untumover	gas				
bmastella@hottechi.com	1	Dopkilaquazz  Group	Cipdudinan	gas	convection	1	0	0
sdenooyer@zoomit.com	1	Dopkilaquazz  Group	Haphupicator	gas				
tkaniecki@dambase.com	1	Dopkilaquazz  Group	Haptanupantor	induction				
lbaltimore@hottechi.com	1	Dopkilaquazz  Group	Monsipommistor	radiant electric	conventional	0	0	1
daquas@plussunin.com	1	Dopkilaquazz  Group	Truzapaquar	radiant electric				
jcorrio@year-job.com	1	Dopkilaquazz  Group	Unniponower		convection	1	0	1
kthreets@plussunin.com	1	Dopkilaquazz  Group	Windimower	induction				
edorshorst@nam-zim.com	1	Dopkilaquazz  Group	Winsipexex		convection	0	0	1
mwaycott@bioplex.com	1	Dopnipaquistor	Adfropax	radiant electric	conventional	1	0	1
lclaucherty@funholding.com	1	Dopnipaquistor	Retinegan		conventional	0	1	1
emugnolo@opentech.com	1	Dopquestan WorldWide	Tipbanommax		conventional	0	0	1
smclaird@condax.com	1	Dopquestan WorldWide	Tipkilover		conventional	0	1	1
dmatuszak@groovestreet.com	1	Dopquestan WorldWide	Tipwerpin		conventional	1	1	1
pborgman@zathunicon.com	1	Dopsipegentor Direct	Dopbanentor	electric	conventional	1	0	0
lmulqueen@cancity.com	1	Dopsipegentor Direct	Parrobazz		conventional	0	0	1
cengelberg@dambase.com	1	Dopsipegentor Direct	Rehupopover		conventional	0	1	1
dmcnease@rundofase.com	1	Dopsipegentor Direct	Truzapaquar		convection	1	1	0
lcookey@donquadtech.com	1	Dopsipegentor Direct	Tupwerpimar		conventional	1	1	0
djayson@mathtouch.com	1	Doptaninin Holdings Inc			conventional	0	0	1
dgotter@goodsilron.com	1	Doptaninin Holdings Inc	Adpebeficator	gas	conventional	0	1	0
lvocelka@ron-tech.com	1	Doptaninin Holdings Inc	Emweronar	electric	conventional	1	1	1
mparvis@golddex.com	1	Doptaninin Holdings Inc	Froglibefax	induction				
askursky@nam-zim.com	1	Doptaninin Holdings Inc	Supbanantor		conventional	0	0	1
ktoyama@xx-zobam.com	1	Doptaninin Holdings Inc	Surtumanex	radiant electric				
tbowley@stanredtax.com	1	Doptaninin Holdings Inc	Tupdimantor	radiant electric	conventional	1	0	0
avanheusen@zotware.com	1	Doptaninin Holdings Inc	Uncadax	induction				
ahughey@lexiqvolax.com	1	Doptaninin Holdings Inc	Upsapimor	electric	convection	1	0	1
rstenseth@mathtouch.com	1	Doptanonantor WorldWide			convection	1	1	1
kloder@treequote.com	1	Doptanonantor WorldWide	Frovenazz	gas	conventional	1	0	1
fmunns@hatfan.com	1	Doptanonantor WorldWide	Monerex	electric				
ewiklund@ontomedia.com	1	Doptanonantor WorldWide	Monsipommistor		conventional	1	0	1
sbeech@bioplex.com	1	Doptanonantor WorldWide	Parrobor	gas				
mmorasca@statholdings.com	1	Doptanonantor WorldWide	Tipkilower		conventional	1	1	0
cpoquette@faxquote.com	1	Doptanonantor WorldWide	Upsapar	radiant electric				
jfillingim@toughzap.com	1	Dopvenonazz WorldWide	Barwerpilistor	induction	convection	1	1	0
frulapaugh@opentech.com	1	Dopvenonazz WorldWide	Surpickex		conventional	0	0	1
epugh@hottechi.com	1	Dopvenonazz WorldWide	Updudistor		conventional	1	0	0
hhochard@zotware.com	1	Dopvenonazz WorldWide	Varhupan	induction	conventional	1	1	0
hhochard@kinnamplus.com	1	Embanicower Holdings	Ciperimar	gas	conventional	0	1	0
asaras@dalttechnology.com	1	Embanicower Holdings	Lomfroponex	electric	conventional	0	1	1
lhudnall@kan-code.com	1	Embanicower Holdings	Supzapar		conventional	1	0	0
fhanafan@j-texon.com	1	Embanicower Holdings	Tuprobedan		convection	1	1	0
scryer@finhigh.com	1	Empickadin	Barmunaquistor	induction	conventional	0	1	0
rsahagun@gogozoom.com	1	Empickadin	Grodiman	radiant electric	conventional	0	0	1
vcoody@labdrill.com	1	Empickadin	Hapquestover		conventional	0	1	1
rlimmel@zathunicon.com	1	Empickadin	Infroponar	gas				
sshinko@plusstrip.com	1	Empickadin	Mondudexin	radiant electric	conventional	1	1	1
cgwalthney@treequote.com	1	Empickadin	Monerex		conventional	1	0	1
tmclaird@golddex.com	1	Empickadin	Supsapan	radiant electric	convection	0	1	0
cbubash@opentech.com	1	Empickopentor Holdings	Parglibover	electric	convection	1	1	0
yasar@zoomit.com	1	Empickopentor Holdings	Surtinover	electric	conventional	1	1	0
sdenooyer@ganjaflex.com	1	Emtumax Direct Inc	Lomnipanower	gas	conventional	1	1	1
cbitsuie@treequote.com	1	Emtumax Direct Inc	Partinicantor	radiant electric	conventional	0	1	0
rbenimadho@dalttechnology.com	1	Emtumax Direct Inc	Unbanover	induction	convection	1	1	0
bschmaltz@goodsilron.com	1	Emtumax Direct Inc	Uncadax	induction				
mfortino@nam-zim.com	1	Emwerpentor Direct Corp.	Lomrobax		conventional	0	1	0
aamyot@openlane.com	1	Emwerpentor Direct Corp.	Partinicantor		convection	0	0	1
hcookey@fasehatice.com	1	Emwerpentor Direct Corp.	Redudex		conventional	1	0	1
nloder@blackzim.com	1	Emwerpentor Direct Corp.	Suptanedgentor	radiant electric	conventional	0	0	1
vbrachle@ron-tech.com	1	Emwerpentor Direct Corp.	Updudistor	gas				
jkownacki@yearin.com	1	Emwerpentor Direct Corp.	Winsipexex	radiant electric	conventional	1	1	0
rbuvens@statholdings.com	1	Emwerpentor Direct Corp.	Zeedimin	gas				
ymeisel@hatfan.com	1	Endcadan	Haptanupantor		conventional	1	1	0
dragel@zoomit.com	1	Endcadan	Survenin		conventional	1	0	1
jsarbacher@zencorporation.com	1	Endglibupentor Holdings Group	Mondimaquover		conventional	1	0	0
gtimenez@zathunicon.com	1	Endglibupentor Holdings Group	Mondimewan		conventional	0	1	0
gmeinerding@sumace.com	1	Endglibupentor Holdings Group	Retinegan		conventional	1	0	1
rvenere@funholding.com	1	Endhupopor International	Adkilor	gas				
mklusman@dalttechnology.com	1	Endhupopor International	Adpickinazz	induction	conventional	1	1	0
lmodzelewski@ron-tech.com	1	Endhupopor International	Partinicantor		conventional	1	1	0
ameinerding@openlane.com	1	Endhupopor International	Surtumanex	radiant electric				
sspickerman@gogozoom.com	1	Endhupopor International	Winnipilover	induction	conventional	1	1	0
lyglesias@j-texon.com	1	Endjubor Holdings Corp.	Cipzapar	induction	convection	1	1	0
lmaillard@donware.com	1	Endtinan	Barkilentor	radiant electric	conventional	1	1	0
jsyrop@ontomedia.com	1	Endtinan	Endsipistor	gas	conventional	0	1	0
ghudnall@domzoom.com	1	Endtinan	Rapsapex		conventional	1	0	1
slacovara@faxquote.com	1	Endtinan	Tuphupamin	electric				
lcorrio@sumace.com	1	Endtumin			convection	1	0	0
sshields@donquadtech.com	1	Endtumin		radiant electric				
bshealy@ontomedia.com	1	Endtumin	Barmunaquistor		conventional	1	0	1
cfrerking@xx-zobam.com	1	Endtumin	Dopnipefistor		conventional	1	0	0
nlary@codehow.com	1	Endtumin	Qwifropilistor	induction	conventional	1	1	0
lsaulter@konmatfix.com	1	Endtumin	Thrunipaquentor		convection	1	1	1
ekitzman@scotfind.com	1	Endtumin	Zeesipazz	induction	conventional	0	0	1
cmccullan@dalttechnology.com	1	Endzapimistor	Endwerpinicator		convection	1	0	1
wmadarang@green-plus.com	1	Endzapimistor	Endwerpinicator	induction				
nstimmel@sumace.com	1	Endzapimistor	Rehupopover		convection	1	0	0
aohms@condax.com	1	Endzapimistor	Tipbanommax	electric				
hmcdoniel@labdrill.com	1	Endzapimistor	Winsipexex	induction	conventional	1	1	0
kdorshorst@rangreen.com	1	Frodudollazz  Corp.	Adkilor		conventional	0	1	1
sglick@sonron.com	1	Frodudollazz  Corp.	Dopbanentor	electric	conventional	0	1	0
tkannady@groovestreet.com	1	Frodudollazz  Corp.	Hapnipexower	gas	conventional	0	0	1
bfrancescon@treequote.com	1	Frodudollazz  Corp.	Upsapimor	induction				
hogg@dalttechnology.com	1	Frofropentor Holdings	Dopnipefistor	electric	convection	0	0	1
ckiel@sunnamplex.com	1	Frofropentor Holdings	Enddimax		convection	0	1	1
mberray@konmatfix.com	1	Frofropentor Holdings	Rehupopover		conventional	0	0	1
rmenter@xx-zobam.com	1	Frofropentor Holdings	Windimower	induction	conventional	0	1	0
djillson@sonron.com	1	Frojubimicator WorldWide	Rejubefistor		conventional	0	0	1
iwolfgramm@scotfind.com	1	Frojubimicator WorldWide	Trujubex	gas	conventional	0	0	1
cventura@opentech.com	1	Frojubimicator WorldWide	Upsapedover	electric	conventional	0	1	1
mkaniecki@plexzap.com	1	Frojubimicator WorldWide	Winweregicator		conventional	1	0	1
dlother@finjob.com	1	Fromunar WorldWide Group	Hapnipexower	gas	conventional	1	1	1
amaillard@konmatfix.com	1	Fromunar WorldWide Group	Revenex		conventional	0	1	1
wshadrick@blackzim.com	1	Fromunar WorldWide Group	Winsipexex	induction				
adegroot@toughzap.com	1	Froroban	Tipquestistor		conventional	0	1	0
jshadrick@toughzap.com	1	Froroban	Uncadax	induction	conventional	1	0	1
cankeny@finhigh.com	1	Grocadan WorldWide Company			convection	0	1	1
aandreason@dambase.com	1	Grocadan WorldWide Company	Emdudonan		conventional	1	1	1
ddenooyer@xx-zobam.com	1	Grocadan WorldWide Company	Endcadazz	gas	conventional	1	0	1
kkorando@finjob.com	1	Grocadan WorldWide Company	Monzapazz	gas				
lsama@betatech.com	1	Grocadan WorldWide Company	Qwitumewar	induction	conventional	1	1	1
lskulski@plexzap.com	1	Grocadan WorldWide Company	Revenollan	induction				
lsamara@lexiqvolax.com	1	Grocadan WorldWide Company	Zeedimin	radiant electric				
yketelsen@dalttechnology.com	1	Grohupefantor International Company	Endzapinicator		conventional	1	0	0
vhughey@zumgoity.com	1	Grohupefantor International Company	Lomerplantor		convection	1	0	1
twildfong@stanredtax.com	1	Grohupefantor International Company	Thrurobimicator	electric	conventional	0	0	1
amaillard@bioholding.com	1	Grohupefantor International Company	Trukilantor	radiant electric				
dgehrett@stanredtax.com	1	Grohupefantor International Company	Tuprobedan		conventional	0	0	1
fdaufeldt@dontechi.com	1	Grohupefantor International Company	Upglibicator	gas				
tbaltimore@stanredtax.com	1	Grojubinentor Direct Group		radiant electric	conventional	1	0	0
tcandlish@goodsilron.com	1	Grojubinentor Direct Group	Ciperimar	induction	conventional	1	0	1
ccolla@fasehatice.com	1	Grojubinentor Direct Group	Qwitumar	induction				
yfrey@sunnamplex.com	1	Grojubinentor Direct Group	Supquestackan	induction	conventional	0	1	1
cvizarro@codehow.com	1	Grojubinentor Direct Group	Tipquestistor	gas				
weroman@toughzap.com	1	Grojubinentor Direct Group	Varrobeficator		conventional	0	1	1
lgato@dalttechnology.com	1	Grokilower Direct Group	Partinover	electric	conventional	1	1	1
vcentini@sonron.com	1	Grokilower Direct Group	Surpickex		conventional	0	0	1
baredondo@singletechno.com	1	Grokilower Direct Group	Surzapegax	gas				
achavous@bioplex.com	1	Grokilower Direct Group	Tupcadommistor		conventional	0	0	1
jyaw@ontomedia.com	1	Grokilower Direct Group	Windimower	gas				
chirpara@sunnamplex.com	1	Grosapantor Direct	Rapsapower		conventional	1	0	0
rdemesa@doncon.com	1	Grosapantor Direct	Trujubex	radiant electric				
aogg@nam-zim.com	1	Grosapantor Direct	Winsipexex	electric				
gperez@xx-zobam.com	1	Grosipover Direct	Adtanazz	electric	convection	1	1	1
mmanno@fasehatice.com	1	Grosipover Direct	Barwerpilistor		convection	1	0	0
hgato@domzoom.com	1	Grosipover Direct	Grodiman		conventional	0	1	0
mnabours@finhigh.com	1	Grosipover Direct	Haphupicator	induction	convection	1	0	1
ssaylors@conecom.com	1	Grosipover Direct	Klitumover		conventional	0	0	1
kauber@yearin.com	1	Grosipover Direct	Winsipexex	induction	conventional	0	0	1
bshinko@y-corporation.com	1	Grotumentor International		induction	conventional	1	0	1
cschoeneck@iselectrics.com	1	Grotumentor International	Hapzapistor	gas	convection	0	1	0
rcorbley@hottechi.com	1	Grotumentor International	Thrumunonax	electric	conventional	0	0	1
trentfro@konex.com	1	Grotumentor International	Tipquestistor		conventional	1	1	1
vsturiale@dontechi.com	1	Growerpicator Holdings	Monglibepar	gas				
wcorbley@treequote.com	1	Growerpicator Holdings	Tuprobanantor		conventional	0	1	1
mkonopacki@kinnamplus.com	1	Haphupazz Direct	Doptumadower	electric	conventional	1	0	0
fwenzinger@funholding.com	1	Haphupazz Direct	Lomrobax		conventional	1	1	1
tlother@konmatfix.com	1	Haphupazz Direct	Rapsipower	electric				
kemigh@finhigh.com	1	Haphupazz Direct	Tipkilower	electric				
lkampa@konmatfix.com	1	Haphupazz Direct	Varrobeficator		convection	0	1	1
mkohnert@zoomit.com	1	Haphupazz Direct	Winrobaquazz	gas				
ctjepkema@codehow.com	1	Haphupazz Direct	Wintanax		conventional	1	1	0
atromblay@zoomit.com	1	Happebantor			conventional	1	0	0
ddubaldi@sonron.com	1	Happebantor	Advenover	radiant electric				
kcaiafa@rantouch.com	1	Happebantor	Emweronar		convection	0	0	1
ayum@nam-zim.com	1	Happebantor	Endcadazz	electric	conventional	1	1	1
jagramonte@iselectrics.com	1	Happebantor	Haphupicator	gas	conventional	1	1	1
lskursky@ganjaflex.com	1	Happebantor	Redudackar	gas	convection	0	1	0
scousey@openlane.com	1	Hapquestover Direct	Endwerpistor	electric	conventional	0	0	1
llizama@faxquote.com	1	Hapquestover Direct	Grosapower		convection	0	1	1
mhoffis@kinnamplus.com	1	Hapquestover Direct	Parglibover	electric	conventional	0	1	0
mfoller@fasehatice.com	1	Hapquestover Direct	Qwitumewar	electric	conventional	1	0	0
gcolaizzo@codehow.com	1	Hapquestover Direct	Rapdimepax		conventional	0	0	1
jbrideau@hottechi.com	1	Hapquestover Direct	Revenex		conventional	0	1	1
aperez@cancity.com	1	Haprobicator	Frorobistor		conventional	0	0	1
jmauson@ontomedia.com	1	Haprobicator	Hapzapistor	induction	conventional	1	1	1
egrenet@gogozoom.com	1	Haprobicator	Infroponar	radiant electric	conventional	1	0	0
conofrio@konmatfix.com	1	Haprobicator	Rehupopover	radiant electric				
csawchuk@domzoom.com	1	Haprobicator	Revenex	induction	conventional	0	1	1
cgrenet@donware.com	1	Haprobicator	Wintanax	gas	conventional	1	0	0
sberganza@bioholding.com	1	Haptanepin		induction	conventional	0	1	1
dharabedian@y-corporation.com	1	Haptanepin	Fropickaman	electric	conventional	0	1	1
mmonterrubio@statholdings.com	1	Haptanepin	Retanicator		convection	0	1	1
lhollack@konmatfix.com	1	Haptanepin	Thruglibentor	induction	conventional	1	1	1
mgotter@zencorporation.com	1	Haptanepin	Trukilantor	induction	conventional	0	1	1
juyetake@funholding.com	1	Haptumor Holdings Corp.	Intinower	electric	conventional	1	0	0
lkoppinger@plusstrip.com	1	Haptumor Holdings Corp.	Montinefazz	electric				
carceo@xx-zobam.com	1	Haptumor Holdings Corp.	Parglibover	induction	convection	1	1	0
dsarbacher@warephase.com	1	Haptumor Holdings Corp.	Tupdimegantor	gas	conventional	1	0	1
lkippley@y-corporation.com	1	Hapvenicator Direct	Adpickinazz	electric	conventional	1	0	0
sbrucato@goodsilron.com	1	Hapvenicator Direct	Cipdudinan	radiant electric				
rjulia@hottechi.com	1	Hapvenicator Direct	Endcadazz	induction	conventional	1	0	0
chollack@zotware.com	1	Hapvenicator Direct	Monbanicator		convection	1	0	1
vestell@betatech.com	1	Hapvenicator Direct	Monwerilantor		convection	0	1	0
ngudroe@blackzim.com	1	Hapvenicator Direct	Parrobor	radiant electric				
rgarufi@xx-holding.com	1	Hapvenicator Direct	Parsipefan	radiant electric				
bhoneywell@xx-holding.com	1	Hapvenicator Direct	Windimower		conventional	1	1	0
tbayless@sunnamplex.com	1	Hapweristor Holdings Corp.	Kliwerommistor	gas				
eventura@ganjaflex.com	1	Hapweristor Holdings Corp.	Rapglibex	radiant electric	convection	0	0	1
fsuell@openlane.com	1	Inglibentor WorldWide	Barmunaquistor	radiant electric	conventional	0	0	1
tfunnell@ron-tech.com	1	Inglibentor WorldWide	Ciperimar	gas				
cmalvin@streethex.com	1	Inglibentor WorldWide	Dopnipefistor	gas	convection	0	1	0
dweight@scotfind.com	1	Inglibentor WorldWide	Haptanupantor	induction	conventional	0	1	0
ymcnease@conecom.com	1	Inglibentor WorldWide	Qwiglibaquar		conventional	0	1	1
cstaback@betasoloin.com	1	Inglibentor WorldWide	Rapsapex	gas				
spawlowicz@nam-zim.com	1	Inglibentor WorldWide	Trujubex	induction				
gtawil@plussunin.com	1	Inmunplantor	Dopbanentor	induction	conventional	0	0	1
stillotson@mathtouch.com	1	Inmunplantor	Rapsapower		conventional	0	0	1
clary@mathtouch.com	1	Inmunplantor	Supsapan	radiant electric	conventional	1	1	0
achickering@warephase.com	1	Inmunplantor	Wintinewin	induction	conventional	1	0	1
ghidvegi@finjob.com	1	Inmunplantor	Winwerpan	electric	conventional	1	1	0
vmaile@nam-zim.com	1	Inquestedgentor	Adtinentor	electric				
dturinetti@ganjaflex.com	1	Inquestedgentor	Cipdudinan	gas				
xflister@y-corporation.com	1	Inquestedgentor	Cipfropexex		conventional	0	1	0
rdegonia@dambase.com	1	Inquestedgentor	Hapwerex		conventional	1	0	0
cwildfong@treequote.com	1	Inquestedgentor	Kliwerommistor	radiant electric	convection	1	1	0
hboord@y-corporation.com	1	Inquestedgentor	Lomnipanower	radiant electric	conventional	0	1	1
dhengel@hatfan.com	1	Inquestedgentor	Rapdimepax	induction				
chengel@xx-holding.com	1	Inquestedgentor	Winsipexex	induction				
tdhamer@stanredtax.com	1	Inrobadan Direct	Gropickicator	radiant electric				
bscipione@blackzim.com	1	Inrobadan Direct	Intinower		convection	1	0	0
jfortino@betasoloin.com	1	Inrobadan Direct	Supericator	gas	conventional	0	1	0
langalich@streethex.com	1	Inrobadan Direct	Upmunantor		convection	1	1	0
mtawil@plusstrip.com	1	Inrobadan Direct	Wintinewin	radiant electric	conventional	1	1	1
crantanen@rantouch.com	1	Insipollover Holdings	Adtinentor		conventional	0	1	1
restell@kinnamplus.com	1	Insipollover Holdings	Dopvenower	gas				
sferencz@codehow.com	1	Insipollover Holdings	Dopvenower	gas	conventional	0	1	0
kcaudy@treequote.com	1	Insipollover Holdings	Emsipackex	gas	conventional	0	1	1
bweight@funholding.com	1	Insipollover Holdings	Fropickaman	gas				
sfigeroa@opentech.com	1	Insipollover Holdings	Lomnipanower		conventional	1	0	0
tamigon@statholdings.com	1	Insipollover Holdings	Rapdudin	induction				
ademesa@cancity.com	1	Insipollover Holdings	Supfropantor	radiant electric	conventional	0	1	0
kadkin@mathtouch.com	1	Insipollover Holdings	Varwerpanower	electric	conventional	1	1	1
jcaudy@j-texon.com	1	Intanepin International	Dopbanentor	electric	convection	1	1	0
pcoody@yearin.com	1	Intanepin International	Hapzapistor	electric	convection	0	0	1
akannady@ron-tech.com	1	Intanepin International	Klitinistor		conventional	1	0	1
jbeech@plussunin.com	1	Intanepin International	Truzapaquar	gas	conventional	1	0	1
mseewald@funholding.com	1	Intanimax International Company		gas	convection	1	1	0
bdemesa@newex.com	1	Intanimax International Company	Barwerpilistor	electric	conventional	0	1	1
tpelkowski@groovestreet.com	1	Intanimax International Company	Cipzapar		convection	1	0	1
rbolognia@rantouch.com	1	Intanimax International Company	Hapnipexower	gas	convection	0	1	0
asemidey@rangreen.com	1	Intanimax International Company	Monwericower	radiant electric	convection	1	0	1
bfrancescon@y-corporation.com	1	Intanimax International Company	Surtinover	gas	conventional	0	0	1
